Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Conferences & Events,BILD,All of UK,"Campion House,Green Street,Kidderminster,Worcs,DY10 1JL",Kidderminster,DY10 1JL,01562 723025,bild@bild.org.uk,Liz,Howells,"Our mission is help improve the quality of life of people with a learning disability by involving them and their families in all aspects of our work, working with government and public bodies to achieve full citizenship, undertaking beneficial research and development projects, and helping service providers to develop and share good practice",all,Membership,www.bild.org.uk,Advocacy,and Education
Residential Special School,Dame Hannah Rogers School,All of UK,"Dame Hannah Rogers School,Woodland Road,Ivybridge,Devon",Ivybridge,PL7 1UN,1752892461,mail@damehannah.com,Angela,Murray,We are a non maintained residential special school for children and young people with physical disabilities. Centre of excellence for Speech and Language/communication aids. Open 48 weeks a year to offer respite care out of term time.,children,yes,www.damehannah.com,Education,and Respite
Sunfield,Sunfield,All of UK,"Clent Grove, Clent,",Stourbridge,DY99PB,1562882253,sunfield@sunfield.worcs.sch.uk,Catriona,O'Malley,"Sunfield is registered with Dfes as a residential special school,it is also registered with CSCI as a Children's Home. Sunfield provides 52 week care and education placements for children (age 6-19 years) with severe and complex learning needs, in particular children with severe Autistic Spectrum Disorders. Additional services available include an outreach and assessment service and professional and parent training.",children,yes,www.sunfield-school.org.uk,School / College,Residential Special School and Children's Home
Multisensory Magic,Catalyst Education,All of UK,"1A Potters Cross,Wootton,Bedfordshire,MK43 9JG",Wootton,MK43 9JG,0845 127 5281,flocatalyst@aol.com,Flo,Longhorn,"Catalyst Education offers consultancy training from Flo Longhorn in the area of multisensory learning with particular emphasis on significant learning needs. Flo is a familiar and respected speaker and trainer in the UK and abroad. Her reputation precedes her as a lively and informative presenter bringing along boxes of magical  multisensory resources,video materials and practical approaches.",all,yes,www.catalysteducation.org,Training,
Sensology,Flo-Rich Productions,All of UK,"237 Heysham Road,Heysham,LA3 1NN",Heysham,LA3 1NN,01524 426395,hirstwood@edi.co.uk,Lois,Hirstwood,"Flo-Rich Productions offers a new theory of 'sensory experience in learning and education-SENSOLOGY'. Events are held throughout the UK in exciting multisensory locations. Flo Longhorn and Richard Hirstwood jointly present a very practical, interactive and informative approach using high tech and low tech equipment. The content is aimed at those working in special education, inclusive settings and early years.",all,Yes,www.multi-sensory-room.co.uk,Training,
Our support services,Mosaic Essex,All of UK,"Mosaic Essex Colchester office:,1 Church Farm Way,,Nayland Road,,Colchester",Colchester,CO4 5JJ,01206 848250,nancy.witham@mosaichomes.co.uk,Nancy,Witham,We are a housing association with specialist care services.  We also provide services for adults with learning disabilities across South Essex. If you'd like to find out more about our service please contact Nancy on the telephone number above.,adult,no,www.mosaichomes.co.uk,Charities,
Bexley & Bromley Advocacy,Bexley & Bromley Advocacy,London,"241 Main Road,Sidcup,Kent,DA14 6QS",Sidcup,DA14 6QS,020 8300 9666,info@bbadvocacy.org,Vivienne,Lester,Provides advocacy on a one-to-one basis for people with a learning disability,adult,No,www.bbadvocacy.org,Advocacy,
Safety Net People First,Safety Net People First,London,"Aspen House,,1 Gayford Road,,Shepherds Bush,",Shepherd's Bush,W12 9BY,0208 7469516,rachel@advocacyhaf.org.uk,Rachel,Eborall,"Safety Net People First is a self advocacy group that supports people with learning disabilities to speak up when ever and where ever. We have monthly meetings, 1 to 1 work, work experience progamme, and are involved in lots of things in Hammersmith and Fulham.",adult,No,,Advocacy,
Rare Chromosome Disorder Support Group,Unique,All of UK,P.O. Box 2189,Caterham,CR3 5GN,01883 330766,info@rarechromo.org,Beverly,Searle,"Unique provides support, family matching and information to anyone affected by a rare chromosome disorder.",all,Free (but donations gratefully received),www.rarechromo.org,Support Service,
Respite Care/Assessment Unit,Respite Solutions,All of UK,"Richmond House,Greenways,Carr Lane,South Kirkby",Pontefract,WF9 3DB,01977 652288,Respite_solutions@yahoo.com,Alison,Wilson,"We specialise in providing both planned and emergency respite for adults with learning disabilities.  

We have excellent facilities offering comprehensive and specialist assessments, we aim to meet the needs of people with a range of learning disabilities from moderate to severe, and people with more complex needs. Additional needs may include physical disabilities, mental health problems and behaviour that may challenge services.",adult,On application,,Health Care & Advice,Social Care
Ann Craft Trust,Ann Craft Trust,All of UK,"Ann Craft Trust,Centre for Social Work,University Park,Nottingham,NG7 2RD",Nottingham,NG7 2RD,0115 9515400,Ann-Craft-Trust@nottingham.ac.uk,Deborah,Kitson,"ACT is a national organisation working with staff in the statutory, independent and voluntary sectors in the interests of people with learning disabilities who may be at risk from abuse.  ACT responds to the needs and concerns of people by providing information and advice, peer group support, publications, training and research and awareness campaigns.
ACT's membership includes a wide range of people who work with children and adults with learning disabilities.",all,no,www.anncrafttrust.org,Advice,
Practice Solutions - Independent Health and Social Care Consultancy specialising in service development and training for local authorities and voluntary organisations working with vulnerable adults,Practice Solutions Ltd,All of UK,"27 St Alban Avenue, Heath,",Cardiff,CF14 4AS,02920 693216,sarah.practicesolutions@ntlworld.com,Sarah,Conlon,Our consultants specialise in developing and reviewing health and social care services provided for the most vulnerable members of society. Training services are delivered in house by experts working in the field of health and social care and all programmes tailored to customer need. We also run a digital video service that specialises in the production of digital video projects for the health and social care sector.,adult,yes,www.practicesolutions-ltd.co.uk,Training,service development
Bristol Learning Difficulty Services,Bristol Learning Difficulty Services,S.W. England,"Bristol North CLDT,Brentry Lane,Westbury on Trym,Bristol,BS10 6NB",Bristol,BS10 6NB,0117 9088390,sue.turner@bristolswpct.nhs.uk,Sue,Turner,We have three community learning difficulty teams and an intensive response team covering the whole Bristol area. The teams provide specialist interventions but also work closely with mainstream health services to improve access for people with learning difficulties. The service works mainly with adults but has a few childrens services.,adult,No,www.Bristollearningdifficulties.nhs.uk,Health Care & Advice,
Pathways to Change,Enable (Birmingham) Ltd,Midlands,"213 Yardley Road,Acocks Green",Birmingham,B27 6LZ,0121 707 7066,bmenable@btconnect.com,Beth,Mcnab,Provides an unparalleled service for removing barriers to learning and re-entry into education. All in accordance with a fun environment and individual wishes.,all,Free to most individuals who are unemployed.,www.enablebirmingham.co.uk,Education,
Leicester Disability Information and Communication Network -LDICN,Leicester City Council,Midlands,"Conway Building, 1 Grey Friars,Leicester,LE1 5PH",Leicester,LE1 5PH,0116 256 5015,ldicn@leicester.gov.uk,Sukhbinder,Basra,"LDICN makes information and communication easier for disabled people.
- We make written information easier to understand
- we create interactive easy to use DVDs such as 'Going to College', 'Transitions'
- our ldicn.org.uk website offers advice, information and support for people interested in disablitiy issues
- we give advice, support, training and information on using different adaptation tools like a large keyborad or a mouse
- we create easy to understand consultation forms",all,some of our services cost,ldicn.org.uk,Public & Social Services,
Home Social and Leisure support,Housing and Care Services,N.W. England,"43 Foster Street,Chorley,Lancashire,PR6 0AY",Chorley,PR6 0AY,01257 415666,allan.martin3@btinternet.com,Allan or Pam,Martin,"Domicillary support to adult learning disabled in their own home offering care, supported living social and leisure support.
Also to be launched 2006 a mobile day service accessing community based activities.",adult,Yes,,Supported Living,
